District,Local Body,Announced Date,Cluster Type,No. of Person
WAYANAD,Thirunelli,2021-07-31,Limited Community Cluster,19.0
PALAKKAD,SHORNUR,2020-05-11,Large Community Cluster,580.0
WAYANAD,Meenagadi,2021-07-28,Institutional Cluster,15.0
IDUKKI,PALLIVASAL,2021-12-02,Institutional Cluster,275.0
PATHANAMTHITTA,Thiruvalla,2021-07-06,Limited Community Cluster,46.0
IDUKKI,THODUPUZHA,2021-01-21,Institutional Cluster,40.0
IDUKKI,KUMARAMANGALAM,2021-01-25,Institutional Cluster,38.0
IDUKKI,KUMARAMANGALAM,2021-01-22,Institutional Cluster,73.0
IDUKKI,ARAKULAM,2021-02-24,Institutional Cluster,134.0
ERNAKULAM,Cochin,2021-10-04,Institutional Cluster,1.0
ERNAKULAM,Cochin,2021-08-04,Large Community Cluster,1.0
ALAPPUZHA,Punnapra North,2021-05-24,Institutional Cluster,38.0
ERNAKULAM,Cochin,2021-04-16,Institutional Cluster,9.0
PATHANAMTHITTA,Pramadom,2021-06-15,Large Community Cluster,57.0
KOZHIKODE,NARIKUNNI,2021-07-29,Institutional Cluster,9.0
ERNAKULAM,Mulavukadu,2021-04-17,Institutional Cluster,2.0
KOZHIKODE,KOZHIKODE MUNICIPAL CORPORATION,2021-06-15,Large Community Cluster,176.0
WAYANAD,Bathery  Municipality,2021-07-23,Limited Community Cluster,38.0
PATHANAMTHITTA,Pramadom,2021-04-06,Large Community Cluster,68.0
WAYANAD,Pulppally,2021-07-31,Limited Community Cluster,17.0
PATHANAMTHITTA,Kadapra,2021-07-06,Limited Community Cluster,46.0
KOZHIKODE,KOZHIKODE MUNICIPAL CORPORATION,2021-11-06,Limited Community Cluster,115.0
PATHANAMTHITTA,Koipuram,2021-05-17,Limited Community Cluster,87.0
PATHANAMTHITTA,Seethathodu,2021-10-06,Limited Community Cluster,39.0
PATHANAMTHITTA,Pramadom,2021-05-28,Limited Community Cluster,24.0
PATHANAMTHITTA,Eraviperoor,2021-05-22,Institutional Cluster,19.0
PATHANAMTHITTA,Kadapra,2021-05-27,Large Community Cluster,49.0
PATHANAMTHITTA,Naranammoozhy,2021-07-06,Large Community Cluster,55.0
PATHANAMTHITTA,Anicadu,2021-02-06,Limited Community Cluster,31.0
PATHANAMTHITTA,Eraviperoor,2021-05-21,Limited Community Cluster,48.0
PATHANAMTHITTA,Naranammoozhy,2021-04-05,Large Community Cluster,132.0
PATHANAMTHITTA,Aranmula,2021-11-06,Large Community Cluster,63.0
KASARAGOD,AJANUR,2021-04-07,Limited Community Cluster,27.0
PATHANAMTHITTA,Vadasserikkara,2021-11-06,Large Community Cluster,54.0
PATHANAMTHITTA,Pandalam,2021-04-06,Limited Community Cluster,46.0
PATHANAMTHITTA,Aranmula,2021-08-06,Institutional Cluster,12.0
PATHANAMTHITTA,Vechuchira,2021-06-16,Institutional Cluster,13.0
PATHANAMTHITTA,Vallicode,2021-06-19,Institutional Cluster,22.0
PATHANAMTHITTA,Kunnathanam,2021-10-06,Institutional Cluster,9.0
PATHANAMTHITTA,Kalanjoor,2021-11-06,Limited Community Cluster,44.0
PATHANAMTHITTA,Ranni Perunad,2021-08-06,Limited Community Cluster,36.0
PATHANAMTHITTA,Pathanamthitta,2021-04-06,Limited Community Cluster,49.0
PATHANAMTHITTA,Ezhamkulam,2021-06-15,Limited Community Cluster,47.0
PATHANAMTHITTA,Kunnathanam,2021-05-17,Large Community Cluster,61.0
WAYANAD,Edavaka,2021-07-30,Limited Community Cluster,12.0
WAYANAD,Thirunelli,2021-07-29,Limited Community Cluster,15.0
KOZHIKODE,MUKKAM MUNCIPALITY,2021-06-30,Limited Community Cluster,12.0
WAYANAD,VYTHIRI,2021-07-29,Limited Community Cluster,12.0
WAYANAD,Bathery  Municipality,2021-07-23,Limited Community Cluster,25.0
KOZHIKODE,CHENGOTTUKAVU,2021-06-30,Limited Community Cluster,6.0
KOZHIKODE,KAYAKKODI,2021-06-30,Limited Community Cluster,6.0
WAYANAD,Panamaram,2021-02-08,Limited Community Cluster,11.0
KASARAGOD,BEDADUKA,2021-06-25,Large Community Cluster,66.0
KOZHIKODE,KUNNAMANGALAM,2021-06-30,Limited Community Cluster,4.0
KOZHIKODE,RAMANATUKARA MUNCIPALITY,2021-06-30,Limited Community Cluster,3.0
KOZHIKODE,VADAKARA MUNCIPALITY,2021-06-30,Limited Community Cluster,3.0
KOZHIKODE,OLAVANNA,2021-06-30,Limited Community Cluster,2.0
KOZHIKODE,MARUTHOMKARA,2021-06-30,Limited Community Cluster,2.0
WAYANAD,Thariode,2021-07-23,Limited Community Cluster,33.0
KOZHIKODE,KOZHIKODE MUNICIPAL CORPORATION,2021-06-30,Institutional Cluster,3.0
KOZHIKODE,KOZHIKODE MUNICIPAL CORPORATION,2021-03-07,Institutional Cluster,23.0
WAYANAD,Bathery  Municipality,2021-07-15,Institutional Cluster,24.0
KOZHIKODE,THIRUVAMBADI,2021-08-07,Limited Community Cluster,59.0
WAYANAD,Thirunelli,2021-05-07,Large Community Cluster,71.0
WAYANAD,VYTHIRI,2021-07-28,Institutional Cluster,8.0
KOZHIKODE,CHANGAROTH,2021-07-15,Limited Community Cluster,25.0
ERNAKULAM,Kalady,2021-07-18,Institutional Cluster,2.0
KOZHIKODE,KODIYATHUR,2021-01-08,Limited Community Cluster,34.0
WAYANAD,Kaniyambatta,2021-07-20,Limited Community Cluster,29.0
WAYANAD,Bathery  Municipality,2021-07-16,Limited Community Cluster,58.0
WAYANAD,Meenagadi,2021-07-17,Limited Community Cluster,19.0
WAYANAD,Bathery  Municipality,2021-07-20,Limited Community Cluster,19.0
KOZHIKODE,KUNNAMANGALAM,2021-07-21,Limited Community Cluster,43.0
KOZHIKODE,RAMANATUKARA MUNCIPALITY,2021-07-22,Institutional Cluster,24.0
KOZHIKODE,OLAVANNA,2021-07-22,Limited Community Cluster,3.0
KOZHIKODE,PAYYOLI MUNCIPALITY,2021-07-22,Large Community Cluster,75.0
KOZHIKODE,KODUVALLY MUNCIPALITY,2021-07-24,Limited Community Cluster,20.0
KOZHIKODE,AZHIYUR,2021-07-24,Limited Community Cluster,33.0
KOZHIKODE,VANIMEL,2021-07-27,Limited Community Cluster,7.0
KOLLAM,Pooyappally,2021-07-23,Institutional Cluster,8.0
KOLLAM,Oachira,2021-07-21,Institutional Cluster,62.0
KOZHIKODE,PAYYOLI MUNCIPALITY,2021-03-20,Large Community Cluster,241.0
ERNAKULAM,Chengamanad,2021-06-28,Limited Community Cluster,44.0
KOZHIKODE,VANIMEL,2021-07-19,Limited Community Cluster,9.0
KOZHIKODE,THIRUVAMBADI,2021-07-26,Large Community Cluster,65.0
KOZHIKODE,THIRUVAMBADI,2021-07-27,Limited Community Cluster,22.0
ERNAKULAM,Karukutty,2021-07-19,Institutional Cluster,27.0
ERNAKULAM,Muvattupuzha,2021-07-18,Institutional Cluster,4.0
ERNAKULAM,Eloor,2021-07-18,Institutional Cluster,12.0
ERNAKULAM,Thiruvaniyoor,2021-01-07,Institutional Cluster,26.0
ERNAKULAM,Vadavukodu- Puthankurisu,2021-07-25,Institutional Cluster,10.0
ERNAKULAM,Thrikkakara,2021-07-25,Institutional Cluster,5.0
ERNAKULAM,Cochin,2021-07-25,Closed Community Cluster,9.0
ERNAKULAM,Asamannur,2021-07-27,Institutional Cluster,4.0
ERNAKULAM,Cochin,2021-07-19,Institutional Cluster,4.0
ERNAKULAM,Mulanthuruthi,2021-07-20,Institutional Cluster,28.0
ERNAKULAM,Cochin,2021-07-23,Institutional Cluster,5.0
ERNAKULAM,Cochin,2021-06-29,Closed Community Cluster,46.0
KASARAGOD,CHEMNAD,2021-07-19,Institutional Cluster,15.0
KASARAGOD,KODOMBELLUR,2021-07-19,Large Community Cluster,84.0
KASARAGOD,DELAMPADY,2021-07-20,Institutional Cluster,16.0
ERNAKULAM,Mazhuvannur,2021-07-21,Institutional Cluster,5.0
ERNAKULAM,Edathala,2021-07-19,Large Community Cluster,21.0
KASARAGOD,NILESHWAR,2021-07-21,Institutional Cluster,11.0
KASARAGOD,PANATHADY,2021-07-21,Limited Community Cluster,33.0
KASARAGOD,KANHANGAD,2021-07-23,Institutional Cluster,13.0
KASARAGOD,AJANUR,2021-07-23,Large Community Cluster,90.0
ERNAKULAM,Vadavukodu- Puthankurisu,2021-07-24,Institutional Cluster,2.0
ERNAKULAM,Thrikkakara,2021-07-24,Institutional Cluster,7.0
WAYANAD,Muppainadu,2021-07-27,Limited Community Cluster,28.0
WAYANAD,Muttil,2021-02-08,Limited Community Cluster,17.0
WAYANAD,Edavaka,2021-07-27,Limited Community Cluster,40.0
ERNAKULAM,Eloor,2021-07-26,Institutional Cluster,5.0
